PETITION,NAME OF PROPERTY,ADDRESS,NEIGHBORHOOD,PETITION BY,CATEGORY,DETAILS,full_address,lat,lon,coordinate,PID
279,George Haynes House ACD,1126 Washington St,Dorchester,10 voters,C = Pending Landmark/District,Under study - Oct 2021,"1126 Washington St, Dorchester, MA",42.2731363,-71.0695317,"42.2731363, -71.0695317",0
278,Enoch Baldwin House ACD,58 River St,Mattapan,10 voters,C = Pending Landmark/District,Under Study - Oct 2021,"58 River St, Mattapan, MA",42.2715808,-71.0727574,"42.2715808, -71.0727574",0
277,Union Street Architectural Conservation District,30 Union Street (pending) and 8 Lawrence (razed May 2022),Charlestown,10 voters,D = Designated or Pending but Demolished,"Under study - Aug 10, 2021","30 Union Street (pending) and 8 Lawrence (razed May 2022), Charlestown, MA",42.37865559999999,-71.0615977,"42.37422198506303, -71.06506957411013",0
275,Ayer Mansion (interior),395 Commonwealth Ave,Back Bay,10 voters,A = Individual Landmark,BLC designation vote 2022,"395 Commonwealth Ave, Back Bay, MA",42.3493635,-71.0903533,"42.3493635, -71.0903533",0
274,Mt. Calvary Church campus,Otisfield Street parcels,Roxbury,10 voters,A = Individual Landmark,BLC designation vote 2022,"Otisfield Street parcels, Roxbury, MA",42.3129665,-71.0810285,"42.3129665, -71.0810285",0
273,William Carr House (razed),38 Lexington St,East Boston,10 voters,D = Designated or Pending but Demolished,Razed 4/2021,"38 Lexington St, East Boston, MA",42.37751,-71.0384828,"42.37751, -71.0384828",0
272,Shirley-Eustis Place,"Shirley Street parcels, etc.",Roxbury,10 voters,A = Individual Landmark,BLC designation vote 2021,"Shirley Street parcels, etc., Roxbury, MA",42.3246517,-71.0696526,"42.3246517, -71.0696526",0
271,Robert Swan House ACD razed 6-14-22,29 High St,Dorchester,10 voters,D = Designated or Pending but Demolished,Razed 2022,"29 High St, Dorchester, MA",42.3094119,-71.0614999,"42.3094119, -71.0614999",0
270,Daniel Withington House ACD,19 Ashland St,Dorchester,10 voters,C = Pending Landmark/District,Under study as of 1/2021,"19 Ashland St, Dorchester, MA",42.2997581,-71.0529015,"42.2997581, -71.05290149999999",0
269,Howe-Kingsley House,16 Howe St,Dorchester,10 Voters,A = Individual Landmark,BLC designation vote 2022,"16 Howe St, Dorchester, MA",42.3177891,-71.0579356,"42.3177891, -71.0579356",0
268,Old South Meeting House,2 Milk St,Downtown,Commissioner,C = Pending Landmark/District,Under Study as of 3/2020,"2 Milk St, Downtown, MA",42.3569869,-71.058361,"42.3569869, -71.05836099999999",0
267,Stanhope Stable,Stanhope St,Back Bay,10 Voters,C = Pending Landmark/District,Under Study as of 3/2020,"Stanhope St, Back Bay, MA",42.3486706,-71.0732539,"42.3486706, -71.0732539",0
266,Tileston House,13 River St,Dorchester,10 Voters,A = Individual Landmark,BLC designation vote 2022,"13 River St, Dorchester, MA",42.2722924,-71.0701316,"42.2722924, -71.0701316",0
265,Old North Church,193 Salem St,North End,10 Voters,C = Pending Landmark/District,Under Study as of 5/14/19,"193 Salem St, North End, MA",42.3663378,-71.054466,"42.3663378, -71.05446599999999",0302114000
264,North Bennet Street Bath House & Gymnasium (Nazzaro Center),30-32 N. Bennet St,North End,10 Voters,A = Individual Landmark,BLC designation vote 2023,"30-32 N. Bennet St, North End, MA",42.3652987,-71.054466,"42.3652987, -71.05446599999999",0
263,Calf Pasture Pumping Station,435 Mt. Vernon St,Dorchester,10 Voters,C = Pending Landmark/District,Under Study as of 10/9/18,"435 Mt. Vernon St, Dorchester, MA",42.316756,-71.037824,"42.316756, -71.037824",1303413000
262,"Cedar Street, 50/St James African Orthod Church",50 Cedar St,Roxbury,10 Voters,A = Individual Landmark,BLC designation vote 2018,"50 Cedar St, Roxbury, MA",42.3249505,-71.0911659,"42.3249505, -71.0911659",0
261,"Maverick Street, 144-146",144-146 Maverick St,East Boston,10 Voters,D = Designated or Pending but Demolished,Razed 2018,"144-146 Maverick St, East Boston, MA",42.369966,-71.0382416,"42.369966, -71.0382416",0
260,"Maverick Street, 144-146",144-146 Maverick St,East Boston,10 Voters,"O = Other, non-designation action","11/17 hearing, withdrawn","144-146 Maverick St, East Boston, MA",42.369966,-71.0382416,"42.369966, -71.0382416",0
259,Bond-Hampton House,88 Lambert Ave,Roxbury,10 Voters,A = Individual Landmark,BLC designation vote 2022,"88 Lambert Ave, Roxbury, MA",42.32631689999999,-71.0911194,"42.32631689999999, -71.0911194",0
258,O'Brien's Market,1911 Dorchester Ave,Dorchester,10 Voters,C = Pending Landmark/District,Under Study 2016,"1911 Dorchester Ave, Dorchester, MA",42.2854416,-71.0645997,"42.2854416, -71.0645997",0
255,"Blue Cross Blue-Shield Building, The",133 Federal St,"Boston, CBD",Commissioner,C = Pending Landmark/District,Under Study as of 6/14/16,"133 Federal St, Boston, CBD, MA",42.3542479,-71.056577,"42.3542479, -71.05657699999999",0
254,"Warren House, The",130 Warren St,Roxbury,10 Voters,A = Individual Landmark,BLC designation vote 2022,"130 Warren St, Roxbury, MA",42.3262132,-71.0829012,"42.3262132, -71.0829012",0
253,Prouty Garden,Children's Hospital,Longwood,10 Voters,F = Unsuccessful Petition & Demolished,"Denied 2015, demolished","Children's Hospital, Longwood, MA",42.3389262,-71.1071588,"42.33752615381819, -71.10546103532269",0
252,"Willow Court, 68",68 Willow Court,Dorchester,10 Voters,F = Unsuccessful Petition & Demolished,"Denied 2014, demolished","68 Willow Court, Dorchester, MA",42.3242523,-71.0636239,"42.3242523, -71.0636239",0
251,"Adams Street, 884",884 Adams St,Dorchester,10 Voters,F = Unsuccessful Petition & Demolished,"Denied 2014, demolished","884 Adams St, Dorchester, MA",42.2811681,-71.0585517,"42.2811681, -71.0585517",0
250,Winthrop-Carter Building,1 Water St,"Boston, CBD",Commissioner,A = Individual Landmark,BLC designation vote 2016,"1 Water St, Boston, CBD, MA",42.35758500000001,-71.0580331,"42.35758500000001, -71.0580331",0
249,James Collins Mansion,928 East Broadway,South Boston,10 voters,A = Individual Landmark,BLC designation vote 2014,"928 East Broadway, South Boston, MA",42.3361575,-71.0268868,"42.3361575, -71.02688680000001",0
248,Wolbach Building,55 Shattuck St,Longwood,10 voters,F = Unsuccessful Petition & Demolished,"Denied, demolished 2013","55 Shattuck St, Longwood, MA",42.3362207,-71.1055338,"42.3362207, -71.1055338",0
247,Industrial School for Girls 2d petition,232 Centre St,Dorchester,10 voters,A = Individual Landmark,BLC designation vote 2023,"232 Centre St, Dorchester, MA",42.29369459999999,-71.0635659,"42.29369459999999, -71.0635659",0
246,Kehew-Wright House,24 Grampian Way,Dorchester,10 voters,F = Unsuccessful Petition & Demolished,"CCncl Veto 2013, razed 2014","24 Grampian Way, Dorchester, MA",42.31149569999999,-71.0514523,"42.31149569999999, -71.0514523",0
245,Harvard Medical School,689 Huntington Ave,Fenway,10 voters,C = Pending Landmark/District,Under Study - 2011,"689 Huntington Ave, Fenway, MA",42.33531079999999,-71.1030426,"42.33531079999999, -71.1030426",0
244,Huntington Avenue YMCA 2d petition,320 Huntington Ave,Fenway,10 voters,E = Unsuccessful Petition,Petition denied 8/23/11,"320 Huntington Ave, Fenway, MA",42.3407615,-71.087317,"42.34082185206758, -71.0872068496781",0
243,William Lloyd Garrison House,125 Highland St,Roxbury,10 voters,C = Pending Landmark/District,Under Study - 2011,"125 Highland St, Roxbury, MA",42.325985,-71.093644,"42.325985, -71.093644",0
242,Massachusetts Historical Society,1154 Boylston St,Fenway,10 voters,A = Individual Landmark,BLC designation voted 2016,"1154 Boylston St, Fenway, MA",42.3464454,-71.0898907,"42.3464454, -71.0898907",0401754000
241,Museum of Fine Arts,465 Huntington Ave,Fenway,10 voters,C = Pending Landmark/District,Under Study -2011,"465 Huntington Ave, Fenway, MA",42.339383,-71.0939642,"42.339383, -71.0939642",0401796000
240,Symphony Hall (exterior and interior),301 Massachusetts Ave,Fenway,10 voters,C = Pending Landmark/District,Under Study - 2011,"301 Massachusetts Ave, Fenway, MA",42.3435417,-71.0910419,"42.3428407026104, -71.08571127116558",0401482000
239,Horticultural Hall,247 Huntington Ave,Fenway,10 voters,C = Pending Landmark/District,Under Study - 2011,"247 Huntington Ave, Fenway, MA",42.343265,-71.085144,"42.343265, -71.085144",0
238,Industrial School for Girls (see #247),232 Centre St,Dorchester,10 voters,E = Unsuccessful Petition,Petition denied 6/14/2011,"232 Centre St, Dorchester, MA",42.29369459999999,-71.0635659,"42.29369459999999, -71.0635659",0
237,Huntington Avenue YMCA,320 Huntington Ave,Fenway,10 voters,E = Unsuccessful Petition,Petition denied 5/10/11,"320 Huntington Ave, Fenway, MA",42.3407615,-71.087317,"42.3407615, -71.087317",0
236,New England Conservatory/Jordan Hall (ext&int),290 Huntington Ave,Fenway,10 voters,C = Pending Landmark/District,Under Study - 2011,"290 Huntington Ave, Fenway, MA",42.3409299,-71.0863764,"42.3409299, -71.08637639999999",0
235,New England Telephone and Telegraph Building,185 Franklin St,"Boston, CBD",10 voters,C = Pending Landmark/District,Under Study - 2011,"50 Post Office Square, Boston, MA 02110",42.3554073,-71.0548191,"42.35570758810688, -71.05509979731896",0
234,Alvah Kittredge House,10 Linwood St,Roxbury,10 voters,A = Individual Landmark,BLC designation Vote 2016,"10 Linwood St, Roxbury, MA",42.3277546,-71.0929068,"42.3277546, -71.0929068",0
233,Arlington Bldg 2 (Shreve Crump & Low 2d),330 Boylston St,Back Bay,10 voters,E = Unsuccessful Petition,Petition denied 11/10/2008,"330 Boylston St, Back Bay, MA",42.351621,-71.070814,"42.351621, -71.070814",0
232,"West St, 13-15/Peabody Bookstore (former)",13-15 West St,"Boston, CBD",10 voters,A = Individual Landmark,BLC designation vote 2011,"13-15 West St, Boston, CBD, MA",42.3547154,-71.0620956,"42.3547154, -71.06209559999999",0
231,Meehan Street Stables,14 Meehan St,Jamaica Plain,10 Voters,E = Unsuccessful Petition,Petition denied 5/27/08,"14 Meehan St, Jamaica Plain, MA",42.3055963,-71.107089,"42.3055963, -71.107089",0
230,Isabella Stewart Gardner Museum,280 The Fenway,Fenway,10 Voters,A = Individual Landmark,BLC designation vote 2013,"280 The Fenway, Fenway, MA",42.3387028,-71.0988859,"42.3387028, -71.0988859",0
229,Charles River Esplanade,Storrow Drive,Beacon Hill/Back Bay,10 Voters,A = Individual Landmark,BLC designation vote 2009,"Storrow Drive, Beacon Hill/Back Bay, MA",42.3542934,-71.07988,"42.3542934, -71.07988",0
228,"Adams Street, 1203-5",1203-1205 Adams St,Dorchester,10 Voters,C = Pending Landmark/District,Under Study - 2007,"1203-1205 Adams St, Dorchester, MA",42.272516,-71.067276,"42.272516, -71.06727599999999",0
227,Boston Center for Adult Education,5 Commonwealth Ave,Back Bay,10 Voters,C = Pending Landmark/District,Under Study - 2007,"5 Commonwealth Ave, Back Bay, MA",42.35390049999999,-71.0724798,"42.35390049999999, -71.0724798",0
226,Sparhawk Homestead (but district is pending),45 Murdock St,Brighton,10 Voters,E = Unsuccessful Petition,Denied (6-24-08),"45 Murdock St, Brighton, MA",42.3513137,-71.1470299,"42.3513137, -71.14702989999999",0
225,"Pleasant Street, 65",65 Pleasant St,Dorchester,10 Voters,C = Pending Landmark/District,Under Study - 2007,"65 Pleasant St, Dorchester, MA",42.3143048,-71.0603368,"42.3143048, -71.0603368",1301499000
224,Boston City Hall,City Hall Plaza,"Boston, CBD",10 Voters,C = Pending Landmark/District,Under Study - 2007,"City Hall Plaza, Boston, CBD, MA",42.3602242,-71.0593503,"42.3602242, -71.05935029999999",0
223,Christian Science Church Complex,Mass. Ave / Huntington,Fenway,10 voters,A = Individual Landmark,BLC designation vote 2011,"Mass. Ave / Huntington, Fenway, MA",42.342478,-71.084701,"42.342478, -71.084701",0
222,Arlington Bldg (Shreve Crump & Low see #233),330 Boylston St,Back Bay,10 voters,E = Unsuccessful Petition,Petition denied 10-24-06,"330 Boylston St, Back Bay, MA",42.351621,-71.070814,"42.351621, -71.070814",0
221,Jabez Lewis Farm House at the Arnold Arboretum,1090 Center St,Jamaica Plain,10 voters,A = Individual Landmark,BLC designation vote 2007,"1090 Center St, Jamaica Plain, MA",42.3026857,-71.1249147,"42.3026857, -71.12491469999999",0
220,Putnam Nail Factory [parcel 1602617008],12 Ericsson St,Dorchester,10 Voters,C = Pending Landmark/District,Under Study - 2006,"12 Ericsson St, Dorchester, MA",42.2918133,-71.0408159,"42.2918133, -71.04081590000001",0
219,Putnam Nail Factory [parcel 1602617005],12 Ericsson St,Dorchester,10 Voters,C = Pending Landmark/District,Under Study - 2006,"12 Ericsson St, Dorchester, MA",42.2918133,-71.0408159,"42.2918133, -71.04081590000001",0
218,MDC Headquarters Building,20 Somerset St,"Boston, CBD",10 Voters,F = Unsuccessful Petition & Demolished,"Denied, demolished 2013?","20 Somerset St, Boston, CBD, MA",42.3597459,-71.0618248,"42.3597459, -71.0618248",0
217,Fowler-Clark Farm,487 Norfolk St,Mattapan,10 Voters,A = Individual Landmark,BLC designation vote 2006,"487 Norfolk St, Mattapan, MA",42.2800254,-71.0890009,"42.2800254, -71.0890009",0
216,Our Lady of Presentation School,640 Washington St,Brighton,10 voters,C = Pending Landmark/District,Under Study - 2005,"640 Washington St, Brighton, MA",42.3506927,-71.1692242,"42.3506927, -71.1692242",0
215,Our Lady of Presentation Church and Rectory,676-680 Washington St,Brighton,10 voters,C = Pending Landmark/District,Under Study - 2005,"676-680 Washington St, Brighton, MA",42.3516336,-71.1712624,"42.3516336, -71.1712624",0
214,Blessed Sacrament Church Complex,"Centre, Sunnyside, etc.",Jamaica Plain,10 voters,A = Individual Landmark,BLC designation vote 2022,"Centre, Sunnyside, etc., Jamaica Plain, MA",42.322676,-71.105716,"42.322676, -71.105716",0
213,George Milliken House,44 Virginia St,Dorchester,10 Voters,A = Individual Landmark,BLC designation vote 2007,"44 Virginia St, Dorchester, MA",42.315598,-71.0681389,"42.315598, -71.0681389",0
212,St. Augustine’s Church,225 Dorchester St,South Boston,10 Voters,E = Unsuccessful Petition,Petition denied 9/14/04,"225 Dorchester St, South Boston, MA",42.33347089999999,-71.0511232,"42.33347089999999, -71.05112319999999",0
211,Stoughton School,36-40 River St,Dorchester,10 Voters,C = Pending Landmark/District,Under Study - 2004,"36-40 River St, Dorchester, MA",42.2717261,-71.0711798,"42.2717261, -71.0711798",0
210,Sacred Heart Church,12 North Square,North End,10 Voters,C = Pending Landmark/District,Under Study - 2004,"12 North Square, North End, MA",42.3636663,-71.0531661,"42.3636663, -71.0531661",0
209,"Orchard Hill Road, 40",40 Orchard Hill Road,Jamaica Plain,10 Voters,C = Pending Landmark/District,Under Study - 2004,"40 Orchard Hill Road, Jamaica Plain, MA",42.299807,-71.111499,"42.299807, -71.111499",0
208,Parker Hill Branch – BPL,1497 Tremont St,Mission Hill,10 Voters,C = Pending Landmark/District,Hearing 3/25/2003,"1497 Tremont St, Mission Hill, MA",42.3325134,-71.0990346,"42.3325134, -71.0990346",0
207,Gaiety Theater,659-665 Washington St,Theater,10 Voters,F = Unsuccessful Petition & Demolished,"Denied 2003, demolished","659-665 Washington St, Theater, MA",42.35184,-71.063224,"42.35184, -71.06322399999999",0
206,Charles River Speedway Administration Building,1440 Soldiers Field Rd,Allston,Commissioner,A = Individual Landmark,BLC designation vote 2014,"1440 Soldiers Field Rd, Allston, MA",42.361835,-71.145265,"42.361835, -71.145265",0
205,Charles F. Allen House,18 Roxana St,Hyde Park,10 Voters,C = Pending Landmark/District,Under Study - 2002,"18 Roxana St, Hyde Park, MA",42.25157069999999,-71.1319198,"42.25157069999999, -71.13191979999999",0
204,Charles J. Page House,90 Westland Ave,"Boston, Downtown",10 Voters,E = Unsuccessful Petition,Petition denied 10/23/01,"90 Westland Ave, Boston, Downtown, MA",42.3437753,-71.0896709,"42.3437753, -71.0896709",0
203,Modern Theater,523-527 Washington St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC designation vote 2002,"523-527 Washington St, Boston, Downtown, MA",42.3541886,-71.0621605,"42.3541886, -71.06216049999999",0
202,Joseph H. Barnes School,127 Marion St,East Boston,10 Voters,C = Pending Landmark/District,Under Study - 2001,"127 Marion St, East Boston, MA",42.3768848,-71.0366622,"42.3768848, -71.0366622",0
201,Fort Point Channel District,,South Boston,10 Voters,B = District,BLC designation vote 2008,"See Map, South Boston, MA",42.3354829,-71.0456735,"42.3512473958011, -71.04978036739399",0
200,Mission Church Complex,,Mission Hill,10 Voters,A = Individual Landmark,BLC designation vote 2004,"1545 Tremont St, Boston, MA 02120",42.3319028,-71.0978882,"42.33303982723578, -71.1005884610856",0
199,Hillel House,456 Parker St,Mission Hill,10 Voters,E = Unsuccessful Petition,Petition Denied 10/10/2000,"456 Parker St, Mission Hill, MA",42.3380101,-71.0929879,"42.3380101, -71.0929879",0
198,"Post Office Square, 10",10 Post Office Square,"Boston, CBD",10 Voters,C = Pending Landmark/District,Under Study,"10 Post Office Square, Boston, CBD, MA",42.3571545,-71.0557431,"42.3571545, -71.0557431",0
197,Oak Square Fire Station,425 Faneuil St,Brighton,Commissioner,C = Pending Landmark/District,Under Study,"425 Faneuil St, Brighton, MA",42.35128479999999,-71.1681838,"42.35128479999999, -71.1681838",0
196,"Boston Public Library, Faneuil Branch",419 Faneuil St,Brighton,Commissioner,C = Pending Landmark/District,Under Study,"419 Faneuil St, Brighton, MA",42.3513314,-71.1678218,"42.3513314, -71.16782180000001",0
195,East Boston Immigration Station,287 Marginal St,East Boston,10 Voters,E = Unsuccessful Petition,Denied (7/13/10),"287 Marginal St, East Boston, MA",42.3638658,-71.0314797,"42.3638658, -71.03147969999999",0
194,Northern Avenue Bridge,,Boston,10 Voters,E = Unsuccessful Petition,Mayoral Veto 11/12/1999,"Old Northern Ave Bridge, Boston, MA 02210",42.35053545156611,-71.05195888,"42.35429655937441, -71.04868231231426",0
193,Baldwin Street Architectural Cons District,101-107 Baldwin St,Charlestown,10 Voters,C = Pending Landmark/District,Under Study (no accel desrev),"101-107 Baldwin St, Charlestown, MA",42.3831761,-71.0692996,"42.3831761, -71.0692996",0
192,Aberdeen Architectural Conservation District,,Brighton,10 Voters,B = District,BLC designation vote 2002,"See Map, Brighton, MA",42.3489143,-71.1604919,"42.34139839028629, -71.14768118791555",0
191,Nichols House,180 Moss Hill Road,Jamaica Plain,10 Voters,E = Unsuccessful Petition,Petition Denied 9/8/98,"180 Moss Hill Road, Jamaica Plain, MA",42.3061485,-71.1277927,"42.3061485, -71.1277927",0
190,Malcolm X  Ella Little-Collins House,72 Dale St,Roxbury,10 Voters,A = Individual Landmark,BLC designation vote 1998,"72 Dale St, Roxbury, MA",42.321365,-71.086477,"42.321365, -71.086477",0
189,Houghton/Vienna Brewery Complex,133 Halleck/37 Station,Mission Hill,10 Voters,A = Individual Landmark,BLC designation vote 1999,"133 Halleck/37 Station, Mission Hill, MA",42.3330739,-71.0953915,"42.3330739, -71.09539149999999",0
188,Faneuil Gatekeeper’s House,351 Faneuil St,Brighton,10 Voters,C = Pending Landmark/District,Under Study,"351 Faneuil St, Brighton, MA",42.3523206,-71.1649357,"42.3523206, -71.1649357",0
187,Loring-Greenough House (exterior and interior),12 South St,Jamaica Plain,10 Voters,A = Individual Landmark,BLC designation vote 1999,"12 South St, Jamaica Plain, MA",42.3095708,-71.1149342,"42.3095708, -71.1149342",0
186,Edward Everett House,16 Harvard St,Charlestown,10 Voters,A = Individual Landmark,BLC designation vote 1996,"16 Harvard St, Charlestown, MA",42.3720742,-71.0631712,"42.3720742, -71.0631712",0
185,Sewall & Day Cordage Works,342 Western Ave,Brighton,10 Voters,D = Designated or Pending but Demolished,"Hearing 8/95, razed 10/95?","342 Western Ave, Brighton, MA",42.3627886,-71.1368595,"42.3627886, -71.1368595",0
184,Fenway Park,24 Yawkey Way,Fenway,10 Voters,C = Pending Landmark/District,Under Study,"4 Jersey St, Boston, MA 02215",42.34473149999999,-71.0978265,"42.34668430068921, -71.09721780355949",0
183,Boston Fish Pier,212-234 Northern Ave,Seaport,10 Voters,C = Pending Landmark/District,Under Study,"212-234 Northern Ave, Seaport, MA",42.3503245,-71.0382997,"42.3503245, -71.0382997",0
182,South End Light Industrial District,,South End,10 Voters,C = Pending Landmark/District,Under Study (no accel desrev),"See Map, South End, MA",42.3407288,-71.0705633,"42.338092024898806, -71.07267483514227",0
181,Old Corner Bookstore,277 & 283 Washington St,"Boston, Downtown",Commissioner,C = Pending Landmark/District,Under Study,"277 & 283 Washington St, Boston, Downtown, MA",42.3576,-71.0583892,"42.3576, -71.0583892",0
180,Connolly's Bar,1182-84 Tremont St,Roxbury,10 Voters,E = Unsuccessful Petition,Denied 12/9/97,"1182-84 Tremont St, Roxbury, MA",42.3344477,-71.0893978,"42.3344477, -71.0893978",0
179,North Market Building,300-99 Faneuil Hall Mt,"Boston, Downtown",Commissioner,C = Pending Landmark/District,Under Study,"300-99 Faneuil Hall Mt, Boston, Downtown, MA",42.360189,-71.0551145,"42.360189, -71.0551145",0
178,South Market Building,100-99 Faneuil Hall Mt,"Boston, Downtown",Commissioner,C = Pending Landmark/District,Under Study,"100-99 Faneuil Hall Mt, Boston, Downtown, MA",42.360189,-71.0551145,"42.360189, -71.0551145",0
177,Quincy Market Building,200-99 Faneuil Hall Mt,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC designation vote 1996,"200-99 Faneuil Hall Mt, Boston, Downtown, MA",42.360189,-71.0551145,"42.360189, -71.0551145",0
176,Faneuil Hall,1-10 Faneuil Hall Sq.,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1994,"1-10 Faneuil Hall Sq., Boston, Downtown, MA",42.3600345,-71.0563216,"42.3600345, -71.05632159999999",0
175,Old State House,208 Washington St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1994,"208 Washington St, Boston, Downtown, MA",42.358724,-71.057485,"42.358724, -71.057485",0
175,Old State House (amendment),208 Washington St,"Boston, Downtown",10 Voters,"O = Other, non-designation action","Voted 6/24/2014, App. 7/14","208 Washington St, Boston, Downtown, MA",42.358724,-71.057485,"42.358724, -71.057485",0
174,Port Norfolk Architectural Conservation District,Port Norfolk,Dorchester,10 Voters,C = Pending Landmark/District,Under Study (no accel desrev),"Port Norfolk, Dorchester, MA",42.2901021,-71.0406623,"42.2901021, -71.0406623",0
173,Allston Depot,353 Cambridge St,Allston,10 Voters,A = Individual Landmark,BLC designation vote 1997,"353 Cambridge St, Allston, MA",42.3561053,-71.1324663,"42.3561053, -71.13246629999999",2201857000
172,Bay State Road/Back Bay West proposed change,Bay State Road,Boston,10 Voters,E = Unsuccessful Petition,City Cncl Veto 3/1993,"Bay State Road, Boston, MA",42.3504193,-71.1013892,"42.3504193, -71.1013892",0
171,Bijou Theater/Amusement Center,543-547 Washington St,Theater,10 Voters,C = Pending Landmark/District,Under Study,"543-547 Washington St, Theater, MA",42.353899,-71.062609,"42.353899, -71.062609",0
170,Bay State Road/Back Bay West Protection Area,Bay State Road,Boston,10 Voters,E = Unsuccessful Petition,Petition Denied 2/1993,"Bay State Road, Boston, MA",42.3504193,-71.1013892,"42.3504193, -71.1013892",0
169,Frederick Douglass Square District,"Warwick, Hammond St",Roxbury,10 Voters,C = Pending Landmark/District,Under Study,"Warwick, Hammond St, Roxbury, MA",42.3367408,-71.0835489,"42.3367408, -71.0835489",0
168,Women's City Club (interior) 2d petition,39-40 Beacon St,Beacon Hill,10 Voters,E = Unsuccessful Petition,Denied 10/13/92,"39-40 Beacon St, Beacon Hill, MA",42.3570391,-71.0661614,"42.3570391, -71.0661614",0
167,Women's City Club (interior),39-40 Beacon St,Beacon Hill,10 Voters,E = Unsuccessful Petition,Petition Denied 12/1991,"39-40 Beacon St, Beacon Hill, MA",42.3570391,-71.0661614,"42.3570391, -71.0661614",0
166,Paine Furniture Building,81 Arlington St,Back Bay,10 Voters,C = Pending Landmark/District,Under Study,"81 Arlington St, Back Bay, MA",42.3498492,-71.0705448,"42.3498492, -71.0705448",0
165,Boston Police Department,154 Berkeley Street,"Boston, CBD",10 Voters,E = Unsuccessful Petition,Denied 6/11/1991,"154 Berkeley Street, Boston, CBD, MA",42.349191,-71.072511,"42.349191, -71.072511",0
164,McCormack Federal Bldg/Post Office/Courthse,5 Post Office Square,"Boston, CBD",10 Voters,A = Individual Landmark,BLC designation vote 1998,"5 Post Office Square, Boston, CBD, MA",42.3572229,-71.0569323,"42.3572229, -71.05693230000001",0
163,"Keith Building, The",St. Elizabeth's Hospital,Brighton,10 Voters,E = Unsuccessful Petition,Petition Denied 7/1990,"St. Elizabeth's Hospital, Brighton, MA",42.3489047,-71.1480227,"42.3489047, -71.1480227",0
162,"Cenacle, The",206 Lake St,Brighton,10 Voters,E = Unsuccessful Petition,Denied 10/23/1990,"206 Lake St, Brighton, MA",42.3470249,-71.1617541,"42.3470249, -71.1617541",0
161,624 Warren Street (interior),624 Warren St,Roxbury,10 Voters,E = Unsuccessful Petition,Petition Denied 2/1990,"624 Warren St, Roxbury, MA",42.3107778,-71.0829952,"42.3107778, -71.0829952",0
160,Hoffman Building 2d petition,160 N. Washington St,"Boston, CBD",10 Voters,E = Unsuccessful Petition,Denied 11/28/1989,"160 N. Washington St, Boston, CBD, MA",42.3671984,-71.0594008,"42.3671984, -71.05940079999999",0
159,"Beverly Street, 131",131 Beverly St,"Boston, CBD",10 Voters,E = Unsuccessful Petition,Denied 11/28/1989,"131 Beverly St, Boston, CBD, MA",42.367028,-71.060084,"42.367028, -71.060084",0
